ano_eleicao,num_turno,sigla_uf,nome_municipio,nome_candidato,nome_urna_candidato,descricao_cargo,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,sigla_partido,nome_coligacao,composicao_legenda,total_votos,transito
2016,1,PB,RIACHÃO DO POÇO,SEVERINO SABINO DE ARAUJO,BIU DA CHARQUE,PREFEITO,70,APTO,DEFERIDO,NÃO ELEITO,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,162,N
2016,1,PB,RIACHÃO DO POÇO,JOSÉ CONSTÂNCIO SOBRINHO,ZÉ CONSTÂNCIO,PREFEITO,45,APTO,DEFERIDO,NÃO ELEITO,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,1670,N
2016,1,PB,RIACHÃO DO POÇO,MARIA AUXILIADORA DIAS DO REGO,CILINHA,PREFEITO,25,APTO,DEFERIDO COM RECURSO,ELEITO,DEM,COM A FORÇA DO POVO,DEM / PSL,1745,N
2016,1,PB,RIACHÃO DO POÇO,PEDRO FLOR DO REGO,PEDRO MOTORISTA,VEREADOR,70123,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,6,N
2016,1,PB,RIACHÃO DO POÇO,PATRICIA DE OLIVEIRA FERREIRA,PATRICIA,VEREADOR,70888,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,1,N
2016,1,PB,RIACHÃO DO POÇO,SANDRELUCI DE PAULA SILVA,SANDRELUCI,VEREADOR,70011,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,7,N
2016,1,PB,RIACHÃO DO POÇO,MARCIA DO VALE SILVA,MARCIA,VEREADOR,70444,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,23,N
2016,1,PB,RIACHÃO DO POÇO,ADEILDO PEREIRA MONTEIRO,DELZINHO,VEREADOR,70777,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,24,N
2016,1,PB,RIACHÃO DO POÇO,GIVANILDO VIRGINIO DA SILVA,NENCA,VEREADOR,70789,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,22,N
2016,1,PB,RIACHÃO DO POÇO,FLAVIO JOSE DA SILVA,FLAVIO,VEREADOR,70234,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,12,N
2016,1,PB,RIACHÃO DO POÇO,NIVALDO VIEIRA DE SOUZA,NIVALDO DO PEIXE,VEREADOR,70666,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,31,N
2016,1,PB,RIACHÃO DO POÇO,VANDOIZ DE MORAIS JUNIOR,JUNIOR,VEREADOR,70222,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,0,N
2016,1,PB,RIACHÃO DO POÇO,ELIANDO FERNANDES DE SOUZA,LANDO ALTERNATIVO,VEREADOR,70111,APTO,DEFERIDO,SUPLENTE,PT do B,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,2,N
